left thigh	left thigh	left thigh	left thigh	left thigh	left thigh	left thigh	left thigh	left thigh	left thigh	left thigh	left thigh	left thigh	left thigh	left thigh	left thigh	left thigh	left thigh	left thigh	left thigh	left thigh	left thigh	Annotation	Annotation	
Gyroscope X	Gyroscope X	Gyroscope Y	Gyroscope Y	Gyroscope Z	Gyroscope Z	Low Noise Accelerometer X	Low Noise Accelerometer X	Low Noise Accelerometer Y	Low Noise Accelerometer Y	Low Noise Accelerometer Z	Low Noise Accelerometer Z	Magnetometer X	Magnetometer X	Magnetometer Y	Magnetometer Y	Magnetometer Z	Magnetometer Z	SyncTimestamp	SystemTimestamp	Timestamp	Timestamp	Level	Pulse	
CAL	RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	UNCAL	CAL	RAW	no format	no format	
deg/s	No Units	deg/s	No Units	deg/s	No Units	m/s^2	No Units	m/s^2	No Units	m/s^2	No Units	local flux	No Units	local flux	No Units	local flux	No Units	mSecs	mSecs	mSecs	No Units	no unit	no unit	
-0.33587786259541985	-24.0	0.366412213740458	22.0	1.816793893129771	-119.0	0.28915662650602414	1284.0	9.19277108433735	2023.0	0.060240963855421686	2042.0	-0.4309090909090909	474.0	-0.024545454545454544	-27.0	-0.22448979591836737	220.0	1.5228924775010938E12	1.52289247751E12	1179.6875	38656.0	0.0	0.0	
-0.16793893129770993	-30.0	0.4580152671755725	11.0	1.6335877862595418	-107.0	0.3253012048192771	1285.0	9.180722891566266	2020.0	0.04819277108433735	2043.0	-0.4309090909090909	474.0	-0.024545454545454544	-27.0	-0.22448979591836737	220.0	1.522892477505E12	1.522892477511E12	1183.59375	38784.0	0.0	0.0	
-0.2748091603053435	-30.0	0.4580152671755725	18.0	1.5267175572519083	-100.0	0.28915662650602414	1285.0	9.180722891566266	2023.0	0.04819277108433735	2043.0	-0.4309090909090909	474.0	-0.02181818181818182	-24.0	-0.2295918367346939	225.0	1.5228924775089063E12	1.522892477511E12	1187.5	38912.0	0.0	0.0	
-0.07633587786259542	-37.0	0.564885496183206	5.0	1.4809160305343512	-97.0	0.22891566265060243	1284.0	9.19277108433735	2028.0	0.03614457831325302	2044.0	-0.43272727272727274	476.0	-0.03	-33.0	-0.22653061224489798	222.0	1.5228924775128125E12	1.522892477528E12	1191.40625	39040.0	0.0	0.0	
-0.1984732824427481	-33.0	0.5038167938931297	13.0	1.7251908396946565	-113.0	0.22891566265060243	1285.0	9.180722891566266	2028.0	0.03614457831325302	2044.0	-0.4318181818181818	475.0	-0.02181818181818182	-24.0	-0.22755102040816327	223.0	1.5228924775167188E12	1.522892477528E12	1195.3125	39168.0	0.0	0.0	
-0.21374045801526717	-26.0	0.3969465648854962	14.0	1.8015267175572518	-118.0	0.27710843373493976	1285.0	9.180722891566266	2024.0	0.03614457831325302	2044.0	-0.43	473.0	-0.019090909090909092	-21.0	-0.2295918367346939	225.0	1.522892477520625E12	1.522892477529E12	1199.21875	39296.0	0.0	0.0	
-0.3053435114503817	-22.0	0.33587786259541985	20.0	1.66412213740458	-109.0	0.3373493975903615	1284.0	9.19277108433735	2019.0	0.03614457831325302	2044.0	-0.42272727272727273	465.0	-0.012727272727272728	-14.0	-0.23571428571428574	231.0	1.5228924775245313E12	1.522892477531E12	1203.125	39424.0	0.0	0.0	
-0.2595419847328244	-28.0	0.42748091603053434	17.0	1.7404580152671756	-114.0	0.3493975903614458	1283.0	9.204819277108435	2018.0	0.04819277108433735	2043.0	-0.42818181818181816	471.0	-0.02181818181818182	-24.0	-0.22755102040816327	223.0	1.5228924775284375E12	1.522892477532E12	1207.03125	39552.0	0.0	0.0	
-0.061068702290076333	-30.0	0.4580152671755725	4.0	1.450381679389313	-95.0	0.3253012048192771	1284.0	9.19277108433735	2020.0	0.060240963855421686	2042.0	-0.42818181818181816	471.0	-0.02181818181818182	-24.0	-0.22755102040816327	223.0	1.5228924775323438E12	1.522892477533E12	1210.9375	39680.0	0.0	0.0	
-0.2748091603053435	-41.0	0.6259541984732824	18.0	1.5419847328244274	-101.0	0.28915662650602414	1284.0	9.19277108433735	2023.0	0.03614457831325302	2044.0	-0.43	473.0	-0.019090909090909092	-21.0	-0.2285714285714286	224.0	1.52289247753625E12	1.522892477546E12	1214.84375	39808.0	0.0	0.0	
-0.3511450381679389	-27.0	0.41221374045801523	23.0	1.5267175572519083	-100.0	0.26506024096385544	1284.0	9.19277108433735	2025.0	0.03614457831325302	2044.0	-0.43636363636363634	480.0	-0.031818181818181815	-35.0	-0.2285714285714286	224.0	1.5228924775401563E12	1.522892477547E12	1218.75	39936.0	0.0	0.0	
-0.1984732824427481	-27.0	0.41221374045801523	13.0	1.7251908396946565	-113.0	0.28915662650602414	1286.0	9.168674698795181	2023.0	0.03614457831325302	2044.0	-0.4318181818181818	475.0	-0.02909090909090909	-32.0	-0.2306122448979592	226.0	1.5228924775440625E12	1.522892477548E12	1222.65625	40064.0	0.0	0.0	
-0.33587786259541985	-41.0	0.6259541984732824	22.0	1.8625954198473282	-122.0	0.30120481927710846	1284.0	9.19277108433735	2022.0	0.04819277108433735	2043.0	-0.4318181818181818	475.0	-0.014545454545454545	-16.0	-0.2285714285714286	224.0	1.5228924775479688E12	1.52289247756E12	1226.5625	40192.0	0.0	0.0	
-0.0916030534351145	-31.0	0.47328244274809156	6.0	1.8778625954198473	-123.0	0.28915662650602414	1284.0	9.19277108433735	2023.0	0.04819277108433735	2043.0	-0.43727272727272726	481.0	-0.031818181818181815	-35.0	-0.22653061224489798	222.0	1.522892477551875E12	1.522892477561E12	1230.46875	40320.0	0.0	0.0	
-0.24427480916030533	-36.0	0.549618320610687	16.0	1.5877862595419847	-104.0	0.30120481927710846	1284.0	9.19277108433735	2022.0	0.04819277108433735	2043.0	-0.43	473.0	-0.024545454545454544	-27.0	-0.2295918367346939	225.0	1.5228924775557813E12	1.522892477562E12	1234.375	40448.0	0.0	0.0	
-0.12213740458015267	-36.0	0.549618320610687	8.0	1.5572519083969465	-102.0	0.3132530120481928	1285.0	9.180722891566266	2021.0	0.060240963855421686	2042.0	-0.43	473.0	-0.024545454545454544	-27.0	-0.2295918367346939	225.0	1.5228924775596875E12	1.522892477564E12	1238.28125	40576.0	0.0	0.0	
-0.13740458015267176	-31.0	0.47328244274809156	9.0	1.5114503816793892	-99.0	0.27710843373493976	1283.0	9.204819277108435	2024.0	0.03614457831325302	2044.0	-0.43363636363636365	477.0	-0.024545454545454544	-27.0	-0.22653061224489798	222.0	1.5228924775635938E12	1.522892477576E12	1242.1875	40704.0	0.0	0.0	
-0.061068702290076333	-20.0	0.3053435114503817	4.0	1.648854961832061	-108.0	0.24096385542168675	1284.0	9.19277108433735	2027.0	0.03614457831325302	2044.0	-0.4318181818181818	475.0	-0.031818181818181815	-35.0	-0.22448979591836737	220.0	1.5228924775675E12	1.522892477577E12	1246.09375	40832.0	0.0	0.0	
-0.3511450381679389	-28.0	0.42748091603053434	23.0	1.5267175572519083	-100.0	0.20481927710843376	1285.0	9.180722891566266	2030.0	0.03614457831325302	2044.0	-0.42727272727272725	470.0	-0.026363636363636363	-29.0	-0.2326530612244898	228.0	1.5228924775714063E12	1.522892477584E12	1250.0	40960.0	0.0	0.0	
0.12213740458015267	-19.0	0.2900763358778626	-8.0	1.450381679389313	-95.0	0.20481927710843376	1284.0	9.19277108433735	2030.0	0.03614457831325302	2044.0	-0.42727272727272725	470.0	-0.019090909090909092	-21.0	-0.22448979591836737	220.0	1.5228924775753125E12	1.52289247759E12	1253.90625	41088.0	0.0	0.0	
-0.030534351145038167	-33.0	0.5038167938931297	2.0	1.8625954198473282	-122.0	0.1927710843373494	1283.0	9.204819277108435	2031.0	0.03614457831325302	2044.0	-0.4290909090909091	472.0	-0.014545454545454545	-16.0	-0.22653061224489798	222.0	1.5228924775792188E12	1.522892477591E12	1257.8125	41216.0	0.0	0.0	
