belt	belt	belt	belt	belt	belt	belt	belt	belt	belt	belt	belt	belt	belt	belt	belt	belt	belt	belt	belt	belt	belt	belt	belt	belt	belt	belt	belt	belt	belt	belt	belt	belt	belt	belt	belt	Annotation	Annotation	
Axis Angle A	Axis Angle X	Axis Angle Y	Axis Angle Z	Gyroscope X	Gyroscope X	Gyroscope Y	Gyroscope Y	Gyroscope Z	Gyroscope Z	Low Noise Accelerometer X	Low Noise Accelerometer X	Low Noise Accelerometer Y	Low Noise Accelerometer Y	Low Noise Accelerometer Z	Low Noise Accelerometer Z	Magnetometer X	Magnetometer X	Magnetometer Y	Magnetometer Y	Magnetometer Z	Magnetometer Z	Pressure	Pressure	Quaternion 0	Quaternion 1	Quaternion 2	Quaternion 3	SyncTimestamp	SystemTimestamp	Temperature	Temperature	Timestamp	Timestamp	VSenseBatt	VSenseBatt	Level	Pulse	
CAL	CAL	CAL	CAL	CAL	RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	CAL	CAL	CAL	CAL	UNCAL	CAL	RAW	CAL	RAW	CAL	RAW	no format	no format	
local	local	local	local	deg/s	No Units	deg/s	No Units	deg/s	No Units	m/s^2	No Units	m/s^2	No Units	m/s^2	No Units	local flux	No Units	local flux	No Units	local flux	No Units	kPa	No Units	local	local	local	local	mSecs	mSecs	Degrees Celsius	No Units	mSecs	No Units	mV	No Units	no unit	no unit	
0.08128625339899469	0.930309992484136	-0.04986079968282317	0.3633692592103751	-0.31145038167938927	-127.0	-0.05618320610687033	2.0	0.07389312977099241	71.0	0.3614457831325301	1236.0	9.771084337349398	2017.0	-0.12048192771084337	2057.0	0.4263636363636364	-469.0	-0.8136363636363636	-895.0	-0.15306122448979592	150.0	95.2572682188344	39936.0	0.9991741818136943	0.03780029806474316	-0.002025940928275374	0.01476439726186357	1.5228159098715E12	1.522815909877E12	26.896939618726208	25937.0	308.59375	10112.0	3852.014652014652	2629.0	0.0	0.0	
0.0843788746818315	0.93041735737276	-0.049982515400081626	0.3630775251286677	-0.40634174985320026	-134.0	0.052847915443335156	9.0	0.16265413975337648	65.0	0.3493975903614458	1235.0	9.783132530120483	2018.0	-0.060240963855421686	2052.0	0.43272727272727274	-476.0	-0.8118181818181818	-893.0	-0.15816326530612246	155.0	95.2572682188344	39936.0	0.9991101576896423	0.03924214088273757	-0.0021081086841953497	0.015313492681055618	1.5228159098793125E12	1.52281590988E12	26.896939618726208	25937.0	316.40625	10368.0	3844.688644688644	2624.0	0.0	0.0	
0.08746944610568874	0.9305443759959647	-0.0503296515974967	0.36270386057001747	-0.3607577042691546	-131.0	0.005089058524173172	7.0	-0.011309018942606617	76.0	0.42168674698795183	1235.0	9.783132530120483	2012.0	0.0	2047.0	0.4290909090909091	-472.0	-0.8145454545454546	-896.0	-0.15612244897959185	153.0	95.26024418823849	39937.0	0.9990437894283914	0.040684128079533706	-0.002200451740519405	0.015857696525840823	1.522815909887125E12	1.522815909894E12	26.896939618726208	25937.0	324.21875	10624.0	3860.8058608058604	2635.0	0.0	0.0	
0.09057338248267763	0.9307018914182246	-0.05095630260718001	0.36221187795983933	-0.14940021810250814	-114.0	-0.25463467829880027	-6.0	-0.01090512540894211	76.0	0.46987951807228917	1236.0	9.771084337349398	2008.0	-0.03614457831325302	2050.0	0.43	-473.0	-0.8027272727272727	-883.0	-0.15612244897959185	153.0	95.2542922502112	39935.0	0.9989747330415102	0.04213400375248586	-0.0023068536392378994	0.016397771150866686	1.5228159098949375E12	1.522815909926E12	26.896939618726208	25937.0	332.03125	10880.0	3844.688644688644	2624.0	0.0	0.0	
0.09368834768985122	0.9308632291119159	-0.051694599071814215	0.3616922961773871	0.0694919715714662	-115.0	-0.23058699657804677	-20.0	-0.08686496446433273	81.0	0.5421686746987953	1233.0	9.807228915662652	2002.0	-0.12048192771084337	2057.0	0.43	-473.0	-0.8172727272727273	-899.0	-0.15510204081632656	152.0	95.2542922502112	39935.0	0.9989030123107498	0.043589572858155054	-0.0024207052358956645	0.016936980861838397	1.52281590990275E12	1.522815909928E12	26.896939618726208	25937.0	339.84375	11136.0	3852.014652014652	2629.0	0.0	0.0	
0.09677916242033366	0.9310295644952957	-0.052391523846660924	0.36116350627492183	-0.2687022900763359	-120.0	-0.1465648854961831	2.0	-0.1450381679389313	85.0	0.5662650602409639	1235.0	9.783132530120483	2000.0	-0.14457831325301207	2059.0	0.43363636363636365	-477.0	-0.8090909090909091	-890.0	-0.15714285714285717	154.0	95.24834031530732	39933.0	0.9988294526499784	0.045034550797318065	-0.002534214628619641	0.017469731241340887	1.5228159099105625E12	1.522815909929E12	26.896939618726208	25937.0	347.65625	11392.0	3859.340659340659	2634.0	0.0	0.0	
0.09985221196763533	0.9312307630625994	-0.05285520254090804	0.3605767511782839	-0.4279734055651317	-133.0	0.05663629647869995	13.0	-0.3999015020930804	102.0	0.5421686746987953	1236.0	9.771084337349398	2002.0	-0.14457831325301207	2059.0	0.42727272727272725	-470.0	-0.8163636363636364	-898.0	-0.15816326530612246	155.0	95.26024418823849	39937.0	0.9987539508297549	0.04647341342664624	-0.002637758305314512	0.017994715267389508	1.522815909918375E12	1.52281590993E12	26.896939618726208	25937.0	355.46875	11648.0	3863.7362637362635	2637.0	0.0	0.0	
0.10292428638335711	0.9314641421540515	-0.053163955432129005	0.359927972966774	-0.3687977099236641	-132.0	0.03959923664122137	10.0	-0.5706106870229007	114.0	0.5060240963855422	1237.0	9.759036144578314	2005.0	-0.1566265060240964	2060.0	0.42727272727272725	-470.0	-0.8190909090909091	-901.0	-0.15408163265306124	151.0	95.26024418823849	39937.0	0.9986761161236489	0.04791398567374953	-0.002734723628806743	0.018514490209392873	1.5228159099261875E12	1.522815909931E12	26.896939618726208	25937.0	363.28125	11904.0	3847.6190476190473	2626.0	0.0	0.0	
0.10599944491060836	0.931738365027836	-0.053360630819401685	0.35918833808161393	-0.2812861438815637	-129.0	-0.007402266944251887	5.0	-0.6449225075179275	120.0	0.45783132530120485	1234.0	9.795180722891567	2009.0	-0.1927710843373494	2063.0	0.4263636363636364	-469.0	-0.8172727272727273	-899.0	-0.15816326530612246	155.0	95.25131628236882	39934.0	0.9985958434422041	0.049358759288643986	-0.0028267748017721255	0.01902797113879581	1.522815909934E12	1.522815909941E12	26.896939618726208	25937.0	371.09375	12160.0	3865.201465201465	2638.0	0.0	0.0	
0.10905602968524057	0.9320150531148157	-0.05338071738559821	0.3584667903429811	-0.5325550067355187	-141.0	0.17602155365963182	22.0	-0.6870229007633587	124.0	0.44578313253012053	1235.0	9.783132530120483	2010.0	-0.18072289156626506	2062.0	0.43454545454545457	-478.0	-0.8172727272727273	-899.0	-0.15918367346938778	156.0	95.2572682188344	39936.0	0.9985137161179503	0.05079575004408716	-0.0029093023427368084	0.01953679763059056	1.5228159099418125E12	1.522815909948E12	26.896939618726208	25937.0	378.90625	12416.0	3846.1538461538457	2625.0	0.0	0.0	
0.11211028568471013	0.9322979313128461	-0.053154732390859716	0.3577640866468717	-0.517339149400218	-148.0	0.27786259541984715	22.0	-0.7742639040348963	131.0	0.3855421686746988	1234.0	9.795180722891567	2015.0	-0.16867469879518074	2061.0	0.4290909090909091	-472.0	-0.8127272727272727	-894.0	-0.15306122448979592	150.0	95.2572682188344	39936.0	0.998429321824422	0.05223272958237049	-0.0029780359579746596	0.020044016150282673	1.522815909949625E12	1.522815909955E12	26.896939618726208	25937.0	386.71875	12672.0	3863.7362637362635	2637.0	0.0	0.0	
0.11514699951640292	0.9325778543949027	-0.052856015920866944	0.3570781246074145	-0.7625106022052587	-148.0	0.2701441899915184	39.0	-0.8138252756573368	135.0	0.3493975903614458	1237.0	9.759036144578314	2018.0	-0.08433734939759037	2054.0	0.42818181818181816	-471.0	-0.8027272727272727	-883.0	-0.15306122448979592	150.0	95.24536434902667	39932.0	0.9983431038158952	0.05366211370089428	-0.0030414249306425986	0.020546881777734293	1.5228159099574375E12	1.522815909966E12	26.896939618726208	25937.0	394.53125	12928.0	3844.688644688644	2624.0	0.0	0.0	
0.11821935431081176	0.9328128572255289	-0.052598262303071845	0.35650188806994726	-0.3144212915205282	-140.0	0.1407055910872706	11.0	-0.5017536620590056	116.0	0.3373493975903615	1236.0	9.771084337349398	2019.0	-0.08433734939759037	2054.0	0.43	-473.0	-0.8163636363636364	-898.0	-0.15408163265306124	151.0	95.25131628236882	39934.0	0.9982535316288087	0.05510616401843161	-0.0031072561308583993	0.02106044247213171	1.52281590996525E12	1.52281590997E12	26.896939618726208	25937.0	402.34375	13184.0	3850.5494505494503	2628.0	0.0	0.0	
0.12127592956874231	0.9330846675406547	-0.05245034061434658	0.35581169875376945	-0.47408597830453997	-135.0	0.06066693451185235	22.0	-0.7022900763358778	130.0	0.3614457831325301	1235.0	9.783132530120483	2017.0	-0.13253012048192772	2058.0	0.43272727272727274	-476.0	-0.8127272727272727	-894.0	-0.15816326530612246	155.0	95.25131628236882	39934.0	0.9981620818799986	0.05654568760872066	-0.003178533179809873	0.021562477516952935	1.5228159099730625E12	1.522815909984E12	26.896939618726208	25937.0	410.15625	13440.0	3847.6190476190473	2626.0	0.0	0.0	
0.12430381771855997	0.9333151912187224	-0.05222961513378082	0.35523910418657595	-0.904678019181836	-135.0	0.05911137208847117	51.0	-0.7148169896261498	132.0	0.3132530120481928	1236.0	9.771084337349398	2021.0	-0.13253012048192772	2058.0	0.4254545454545455	-468.0	-0.8172727272727273	-899.0	-0.15816326530612246	155.0	95.24536434902667	39932.0	0.998069191769425	0.057969982223038306	-0.0032440807663997977	0.022064576627894877	1.522815909980875E12	1.522815909987E12	26.896939618726208	25937.0	417.96875	13696.0	3827.106227106227	2612.0	0.0	0.0	
0.1273392090312655	0.9335574079801724	-0.05187268497370974	0.3546544664303742	-0.7751908396946565	-142.0	0.1645038167938932	44.0	-0.6816793893129771	131.0	0.28915662650602414	1235.0	9.783132530120483	2023.0	-0.0963855421686747	2055.0	0.4318181818181818	-475.0	-0.8154545454545454	-897.0	-0.15714285714285717	154.0	95.24238838352687	39931.0	0.9979737753647574	0.059399079788476326	-0.0033004823562616118	0.022565456359470843	1.5228159099886875E12	1.522815910001E12	26.896939618726208	25937.0	425.78125	13952.0	3846.1538461538457	2625.0	0.0	0.0	
0.13037625679349796	0.9337974003898575	-0.05147583715642323	0.3540800096222979	-0.7257493948985291	-144.0	0.19102587972444593	42.0	-0.695587413889406	133.0	0.27710843373493976	1237.0	9.759036144578314	2024.0	-0.03614457831325302	2050.0	0.4318181818181818	-475.0	-0.8172727272727273	-899.0	-0.15612244897959185	153.0	95.24238838352687	39931.0	0.9978760062757823	0.06082940112139226	-0.0033532373779796903	0.023065468939396216	1.5228159099965E12	1.522815910002E12	26.896939618726208	25937.0	433.59375	14208.0	3863.7362637362635	2637.0	0.0	0.0	
